'Elapsed time','MLII','V1'
'0:00.342',-6.235,-5.890
'0:00.344',-6.225,-5.895
'0:00.347',-6.225,-5.905
'0:00.350',-6.245,-5.950
'0:00.353',-6.260,-6.005
'0:00.356',-6.295,-6.055
'0:00.358',-6.305,-6.090
'0:00.361',-6.295,-6.115
'0:00.364',-6.305,-6.110
'0:00.367',-6.325,-6.110
'0:00.369',-6.320,-6.095
'0:00.372',-6.325,-6.085
'0:00.375',-6.320,-6.080
'0:00.378',-6.285,-6.080
'0:00.381',-6.250,-6.090
'0:00.383',-6.255,-6.105
'0:00.386',-6.270,-6.120
'0:00.389',-6.330,-6.170
'0:00.392',-6.345,-6.160
'0:00.394',-6.325,-6.180
'0:00.397',-6.335,-6.175
'0:00.400',-6.350,-6.165
'0:00.403',-6.385,-6.185
'0:00.406',-6.380,-6.175
'0:00.408',-6.330,-6.170
'0:00.411',-6.270,-6.175
'0:00.414',-6.270,-6.200
'0:00.417',-6.295,-6.245
'0:00.419',-6.325,-6.265
'0:00.422',-6.370,-6.285
'0:00.425',-6.440,-6.280
'0:00.428',-6.515,-6.270
'0:00.431',-6.590,-6.260
'0:00.433',-6.615,-6.270
'0:00.436',-6.605,-6.280
'0:00.439',-6.550,-6.240
'0:00.442',-6.495,-6.215
'0:00.444',-6.455,-6.195
'0:00.447',-6.395,-6.150
'0:00.450',-6.330,-6.105
'0:00.453',-6.275,-6.095
'0:00.456',-6.280,-6.085
'0:00.458',-6.335,-6.080
'0:00.461',-6.390,-6.095
'0:00.464',-6.420,-6.095
'0:00.467',-6.410,-6.100
'0:00.469',-6.380,-6.100
'0:00.472',-6.335,-6.095
'0:00.475',-6.290,-6.085
'0:00.478',-6.255,-6.075
'0:00.481',-6.210,-6.055
'0:00.483',-6.185,-6.050
'0:00.486',-6.160,-6.045
'0:00.489',-6.155,-6.050
'0:00.492',-6.145,-6.045
'0:00.494',-6.175,-6.020
'0:00.497',-6.190,-6.005
'0:00.500',-6.190,-5.980
'0:00.503',-6.160,-5.965
'0:00.506',-6.110,-5.945
'0:00.508',-6.080,-5.930
'0:00.511',-6.040,-5.940
'0:00.514',-6.005,-5.950
'0:00.517',-5.995,-5.950
'0:00.519',-6.010,-5.950
'0:00.522',-6.010,-5.950
'0:00.525',-6.035,-5.940
'0:00.528',-6.085,-5.910
'0:00.531',-6.125,-5.885
'0:00.533',-6.155,-5.845
'0:00.536',-6.160,-5.840
'0:00.539',-6.095,-5.820
'0:00.542',-6.025,-5.810
'0:00.544',-6.005,-5.810
'0:00.547',-5.970,-5.820
'0:00.550',-5.975,-5.820
'0:00.553',-6.025,-5.825
'0:00.556',-6.040,-5.825
'0:00.558',-6.075,-5.815
'0:00.561',-6.100,-5.800
'0:00.564',-6.075,-5.790
'0:00.567',-6.060,-5.790
'0:00.569',-6.055,-5.780
'0:00.572',-6.070,-5.775
'0:00.575',-6.080,-5.755
'0:00.578',-6.040,-5.755
'0:00.581',-6.035,-5.745
'0:00.583',-6.020,-5.785
'0:00.586',-6.050,-5.795
'0:00.589',-6.065,-5.795
'0:00.592',-6.065,-5.780
'0:00.594',-6.045,-5.785
'0:00.597',-6.035,-5.770
'0:00.600',-6.090,-5.785
'0:00.603',-6.155,-5.815
'0:00.606',-6.180,-5.805
'0:00.608',-6.170,-5.800
'0:00.611',-6.125,-5.815
'0:00.614',-6.060,-5.820
'0:00.617',-6.045,-5.805
'0:00.619',-6.040,-5.800
'0:00.622',-6.045,-5.790
'0:00.625',-6.050,-5.790
'0:00.628',-6.045,-5.780
'0:00.631',-6.050,-5.790
'0:00.633',-6.055,-5.795
'0:00.636',-6.045,-5.805
'0:00.639',-6.060,-5.795
'0:00.642',-6.105,-5.760
'0:00.644',-6.160,-5.735
'0:00.647',-6.195,-5.735
'0:00.650',-6.160,-5.730
'0:00.653',-6.095,-5.765
'0:00.656',-6.055,-5.800
'0:00.658',-6.025,-5.865
'0:00.661',-6.020,-5.870
'0:00.664',-6.080,-5.885
'0:00.667',-6.140,-5.865
'0:00.669',-6.190,-5.830
'0:00.672',-6.180,-5.800
'0:00.675',-6.140,-5.795
'0:00.678',-6.075,-5.780
'0:00.681',-6.010,-5.810
'0:00.683',-5.970,-5.830
'0:00.686',-5.990,-5.850
'0:00.689',-6.035,-5.850
'0:00.692',-6.095,-5.850
'0:00.694',-6.160,-5.825
'0:00.697',-6.165,-5.805
'0:00.700',-6.145,-5.800
'0:00.703',-6.095,-5.790
'0:00.706',-6.055,-5.825
'0:00.708',-6.025,-5.840
'0:00.711',-6.045,-5.840
'0:00.714',-6.060,-5.850
'0:00.717',-6.070,-5.825
'0:00.719',-6.075,-5.825
'0:00.722',-6.100,-5.810
'0:00.725',-6.095,-5.815
'0:00.728',-6.095,-5.840
'0:00.731',-6.105,-5.860
'0:00.733',-6.110,-5.860
'0:00.736',-6.085,-5.875
'0:00.739',-6.070,-5.880
'0:00.742',-6.050,-5.850
'0:00.744',-6.010,-5.840
'0:00.747',-5.985,-5.825
'0:00.750',-6.000,-5.850
'0:00.753',-5.995,-5.870
'0:00.756',-6.045,-5.865
'0:00.758',-6.080,-5.855
'0:00.761',-6.090,-5.845
'0:00.764',-6.100,-5.850
'0:00.767',-6.060,-5.855
'0:00.769',-6.020,-5.865
'0:00.772',-6.030,-5.865
'0:00.775',-6.040,-5.870
'0:00.778',-6.065,-5.865
'0:00.781',-6.035,-5.855
'0:00.783',-5.980,-5.855
'0:00.786',-5.940,-5.855
'0:00.789',-5.955,-5.855
'0:00.792',-5.990,-5.875
'0:00.794',-5.995,-5.880
'0:00.797',-5.975,-5.870
'0:00.800',-5.940,-5.870
'0:00.803',-5.880,-5.905
'0:00.806',-5.850,-5.945
'0:00.808',-5.820,-5.985
'0:00.811',-5.810,-5.985
'0:00.814',-5.820,-5.985
'0:00.817',-5.865,-5.920
'0:00.819',-5.900,-5.860
'0:00.822',-5.950,-5.815
'0:00.825',-5.950,-5.810
'0:00.828',-5.955,-5.805
'0:00.831',-5.940,-5.835
'0:00.833',-5.935,-5.890
'0:00.836',-5.960,-5.930
'0:00.839',-5.970,-5.940
'0:00.842',-5.995,-5.880
'0:00.844',-5.920,-5.815
'0:00.847',-5.845,-5.745
'0:00.850',-5.795,-5.710
'0:00.853',-5.770,-5.710
'0:00.856',-5.790,-5.725
'0:00.858',-5.860,-5.725
'0:00.861',-5.935,-5.750
'0:00.864',-6.020,-5.765
'0:00.867',-6.050,-5.800
'0:00.869',-6.030,-5.830
'0:00.872',-6.000,-5.865
'0:00.875',-5.960,-5.895
'0:00.878',-5.975,-5.925
'0:00.881',-5.990,-5.935
'0:00.883',-6.020,-5.895
'0:00.886',-6.070,-5.885
'0:00.889',-6.130,-5.870
'0:00.892',-6.170,-5.870
'0:00.894',-6.195,-5.885
'0:00.897',-6.205,-5.905
'0:00.900',-6.215,-5.920
'0:00.903',-6.190,-5.915
'0:00.906',-6.165,-5.895
'0:00.908',-6.120,-5.885
'0:00.911',-6.070,-5.865
'0:00.914',-6.050,-5.870
'0:00.917',-6.050,-5.885
'0:00.919',-6.075,-5.885
'0:00.922',-6.100,-5.885
'0:00.925',-6.130,-5.875
'0:00.928',-6.140,-5.865
'0:00.931',-6.115,-5.855
'0:00.933',-6.130,-5.845
'0:00.936',-6.120,-5.840
'0:00.939',-6.125,-5.830
'0:00.942',-6.130,-5.820
'0:00.944',-6.105,-5.825
'0:00.947',-6.085,-5.805
'0:00.950',-6.075,-5.810
'0:00.953',-6.030,-5.835
'0:00.956',-6.000,-5.865
'0:00.958',-5.985,-5.895
'0:00.961',-6.015,-5.885
'0:00.964',-6.090,-5.885
'0:00.967',-6.170,-5.830
'0:00.969',-6.180,-5.805
'0:00.972',-6.115,-5.805
'0:00.975',-6.030,-5.850
'0:00.978',-5.970,-5.920
'0:00.981',-5.970,-5.980
'0:00.983',-6.025,-6.020
'0:00.986',-6.070,-6.075
'0:00.989',-6.130,-6.120
'0:00.992',-6.115,-6.190
'0:00.994',-6.030,-6.290
'0:00.997',-5.905,-6.455
'0:01.000',-5.765,-6.620
'0:01.003',-5.610,-6.795
'0:01.006',-5.530,-6.925
'0:01.008',-5.490,-6.935
'0:01.011',-5.490,-6.870
'0:01.014',-5.490,-6.700
'0:01.017',-5.445,-6.490
'0:01.019',-5.305,-6.245
'0:01.022',-5.085,-6.040
'0:01.025',-4.840,-5.790
'0:01.028',-4.695,-5.530
'0:01.031',-4.710,-5.235
'0:01.033',-4.910,-4.915
'0:01.036',-5.290,-4.680
'0:01.039',-5.755,-4.535
'0:01.042',-6.175,-4.530
'0:01.044',-6.455,-4.700
'0:01.047',-6.635,-4.940
'0:01.050',-6.740,-5.165
'0:01.053',-6.820,-5.350
'0:01.056',-6.940,-5.485
'0:01.058',-7.070,-5.515
'0:01.061',-7.150,-5.580
'0:01.064',-7.230,-5.640
'0:01.067',-7.265,-5.685
'0:01.069',-7.270,-5.750
'0:01.072',-7.255,-5.795
'0:01.075',-7.220,-5.800
'0:01.078',-7.215,-5.795
'0:01.081',-7.215,-5.770
'0:01.083',-7.200,-5.745
'0:01.086',-7.180,-5.765
'0:01.089',-7.130,-5.815
'0:01.092',-7.055,-5.855
'0:01.094',-6.995,-5.890
'0:01.097',-6.965,-5.925
'0:01.100',-6.925,-5.940
'0:01.103',-6.825,-5.920
'0:01.106',-6.705,-5.865
'0:01.108',-6.565,-5.780
'0:01.111',-6.425,-5.740
'0:01.114',-6.325,-5.720
'0:01.117',-6.265,-5.725
'0:01.119',-6.235,-5.740
'0:01.122',-6.225,-5.745
'0:01.125',-6.235,-5.725
'0:01.128',-6.260,-5.740
'0:01.131',-6.290,-5.725
'0:01.133',-6.280,-5.720
'0:01.136',-6.225,-5.690
'0:01.139',-6.150,-5.670
'0:01.142',-6.090,-5.670
'0:01.144',-6.090,-5.675
'0:01.147',-6.115,-5.685
'0:01.150',-6.160,-5.665
'0:01.153',-6.200,-5.680
'0:01.156',-6.220,-5.695
'0:01.158',-6.210,-5.725
'0:01.161',-6.190,-5.745
'0:01.164',-6.170,-5.780
'0:01.167',-6.145,-5.795
'0:01.169',-6.125,-5.795
'0:01.172',-6.110,-5.800
'0:01.175',-6.130,-5.785
'0:01.178',-6.140,-5.775
'0:01.181',-6.180,-5.775
'0:01.183',-6.185,-5.775
'0:01.186',-6.190,-5.775
'0:01.189',-6.185,-5.800
'0:01.192',-6.165,-5.825
'0:01.194',-6.170,-5.855
'0:01.197',-6.195,-5.885
'0:01.200',-6.225,-5.895
'0:01.203',-6.250,-5.895
'0:01.206',-6.270,-5.895
'0:01.208',-6.290,-5.880
'0:01.211',-6.305,-5.900
'0:01.214',-6.325,-5.920
'0:01.217',-6.305,-5.910
'0:01.219',-6.290,-5.940
'0:01.222',-6.275,-5.965
'0:01.225',-6.275,-5.990
'0:01.228',-6.280,-6.020
'0:01.231',-6.280,-6.020
'0:01.233',-6.290,-6.020
'0:01.236',-6.310,-6.005
'0:01.239',-6.365,-6.005
'0:01.242',-6.415,-6.015
'0:01.244',-6.430,-6.005
'0:01.247',-6.410,-6.025
'0:01.250',-6.360,-6.030
'0:01.253',-6.305,-6.055
'0:01.256',-6.280,-6.100
'0:01.258',-6.285,-6.130
'0:01.261',-6.360,-6.135
'0:01.264',-6.440,-6.115
'0:01.267',-6.495,-6.100
'0:01.269',-6.475,-6.080
'0:01.272',-6.385,-6.095
'0:01.275',-6.320,-6.110
'0:01.278',-6.285,-6.160
'0:01.281',-6.295,-6.180
'0:01.283',-6.340,-6.170
'0:01.286',-6.385,-6.125
'0:01.289',-6.400,-6.110
'0:01.292',-6.410,-6.110
'0:01.294',-6.380,-6.120
'0:01.297',-6.325,-6.160
'0:01.300',-6.335,-6.180
'0:01.303',-6.325,-6.185
'0:01.306',-6.325,-6.140
'0:01.308',-6.305,-6.070
'0:01.311',-6.305,-6.025
'0:01.314',-6.285,-5.990
'0:01.317',-6.245,-5.980
'0:01.319',-6.195,-6.000
'0:01.322',-6.130,-6.045
'0:01.325',-6.090,-6.055
'0:01.328',-6.100,-6.065
'0:01.331',-6.120,-6.060
'0:01.333',-6.160,-6.025
'0:01.336',-6.165,-5.995
'0:01.339',-6.130,-5.965
'0:01.342',-6.095,-5.940
'0:01.344',-6.090,-5.930
'0:01.347',-6.065,-5.890
'0:01.350',-6.070,-5.865
'0:01.353',-6.065,-5.835
'0:01.356',-6.030,-5.825
'0:01.358',-6.010,-5.805
'0:01.361',-6.005,-5.815
'0:01.364',-6.040,-5.840
'0:01.367',-6.055,-5.855
'0:01.369',-6.020,-5.855
'0:01.372',-5.980,-5.850
'0:01.375',-5.950,-5.840
'0:01.378',-5.950,-5.810
'0:01.381',-5.975,-5.805
'0:01.383',-6.020,-5.765
'0:01.386',-6.055,-5.765
'0:01.389',-6.060,-5.760
'0:01.392',-6.065,-5.770
'0:01.394',-6.055,-5.770
'0:01.397',-6.035,-5.770
'0:01.400',-5.990,-5.775
'0:01.403',-5.950,-5.770
'0:01.406',-5.935,-5.790
'0:01.408',-5.945,-5.785
'0:01.411',-5.970,-5.775
'0:01.414',-5.985,-5.770
'0:01.417',-5.990,-5.760
'0:01.419',-5.990,-5.755
'0:01.422',-5.975,-5.740
'0:01.425',-5.960,-5.735
'0:01.428',-5.975,-5.725
'0:01.431',-6.025,-5.720
'0:01.433',-6.080,-5.715
'0:01.436',-6.095,-5.705
'0:01.439',-6.070,-5.735
'0:01.442',-6.020,-5.730
'0:01.444',-5.985,-5.750
'0:01.447',-5.995,-5.745
'0:01.450',-6.040,-5.780
'0:01.453',-6.050,-5.775
'0:01.456',-6.070,-5.780
'0:01.458',-6.055,-5.770
'0:01.461',-6.070,-5.800
'0:01.464',-6.110,-5.810
'0:01.467',-6.120,-5.800
'0:01.469',-6.105,-5.810
'0:01.472',-6.075,-5.805
'0:01.475',-6.040,-5.800
'0:01.478',-6.020,-5.790
'0:01.481',-5.995,-5.785
'0:01.483',-5.985,-5.765
'0:01.486',-6.000,-5.770
'0:01.489',-6.015,-5.765
'0:01.492',-6.015,-5.785
'0:01.494',-6.020,-5.795
'0:01.497',-6.050,-5.785
'0:01.500',-6.070,-5.790
'0:01.503',-6.100,-5.775
'0:01.506',-6.065,-5.755
'0:01.508',-6.015,-5.740
'0:01.511',-5.990,-5.715
'0:01.514',-5.990,-5.715
'0:01.517',-6.035,-5.750
'0:01.519',-6.065,-5.755
'0:01.522',-6.075,-5.780
'0:01.525',-6.060,-5.775
'0:01.528',-6.025,-5.780
'0:01.531',-6.025,-5.765
'0:01.533',-6.055,-5.760
'0:01.536',-6.080,-5.765
'0:01.539',-6.075,-5.780
'0:01.542',-6.060,-5.785
'0:01.544',-6.005,-5.795
'0:01.547',-5.995,-5.790
'0:01.550',-5.960,-5.760
'0:01.553',-5.965,-5.740
'0:01.556',-5.970,-5.725
'0:01.558',-6.000,-5.695
'0:01.561',-6.040,-5.680
'0:01.564',-6.045,-5.660
'0:01.567',-6.015,-5.685
'0:01.569',-5.975,-5.710
'0:01.572',-5.955,-5.735
'0:01.575',-5.975,-5.730
'0:01.578',-5.980,-5.730
'0:01.581',-5.980,-5.730
'0:01.583',-5.975,-5.710
'0:01.586',-5.985,-5.715
'0:01.589',-6.020,-5.715
'0:01.592',-6.025,-5.710
'0:01.594',-6.020,-5.715
'0:01.597',-5.990,-5.750
'0:01.600',-5.970,-5.790
'0:01.603',-5.950,-5.845
'0:01.606',-5.970,-5.850
'0:01.608',-6.015,-5.850
'0:01.611',-6.040,-5.805
'0:01.614',-6.065,-5.765
'0:01.617',-6.050,-5.735
'0:01.619',-6.030,-5.725
'0:01.622',-5.995,-5.725
'0:01.625',-5.985,-5.745
'0:01.628',-5.990,-5.740
'0:01.631',-5.975,-5.730
'0:01.633',-5.975,-5.745
'0:01.636',-5.980,-5.755
'0:01.639',-5.975,-5.745
'0:01.642',-5.955,-5.720
'0:01.644',-5.940,-5.710
'0:01.647',-5.910,-5.710
'0:01.650',-5.895,-5.720
'0:01.653',-5.875,-5.750
'0:01.656',-5.875,-5.785
'0:01.658',-5.855,-5.820
'0:01.661',-5.840,-5.815
'0:01.664',-5.840,-5.830
'0:01.667',-5.830,-5.805
'0:01.669',-5.830,-5.755
'0:01.672',-5.820,-5.705
'0:01.675',-5.825,-5.655
'0:01.678',-5.840,-5.645
'0:01.681',-5.870,-5.655
'0:01.683',-5.890,-5.645
'0:01.686',-5.925,-5.690
'0:01.689',-5.935,-5.695
'0:01.692',-5.905,-5.730
'0:01.694',-5.835,-5.710
'0:01.697',-5.790,-5.705
'0:01.700',-5.750,-5.685
'0:01.703',-5.775,-5.665
'0:01.706',-5.805,-5.605
'0:01.708',-5.840,-5.565
'0:01.711',-5.835,-5.530
'0:01.714',-5.820,-5.505
'0:01.717',-5.865,-5.520
'0:01.719',-5.940,-5.555
'0:01.722',-6.015,-5.590
'0:01.725',-6.045,-5.610
'0:01.728',-6.030,-5.630
'0:01.731',-6.005,-5.665
'0:01.733',-5.985,-5.685
'0:01.736',-5.955,-5.710
'0:01.739',-5.965,-5.725
'0:01.742',-6.000,-5.730
'0:01.744',-6.015,-5.735
'0:01.747',-6.025,-5.730
'0:01.750',-6.045,-5.725
'0:01.753',-6.055,-5.715
'0:01.756',-6.085,-5.700
'0:01.758',-6.095,-5.695
'0:01.761',-6.100,-5.710
'0:01.764',-6.105,-5.725
'0:01.767',-6.110,-5.760
'0:01.769',-6.085,-5.785
'0:01.772',-6.055,-5.765
'0:01.775',-6.025,-5.775
'0:01.778',-6.015,-5.755
'0:01.781',-6.045,-5.740
'0:01.783',-6.080,-5.740
'0:01.786',-6.110,-5.740
'0:01.789',-6.150,-5.730
'0:01.792',-6.145,-5.740
'0:01.794',-6.120,-5.760
'0:01.797',-6.095,-5.775
'0:01.800',-6.095,-5.785
'0:01.803',-6.115,-5.795
'0:01.806',-6.120,-5.775
'0:01.808',-6.095,-5.740
'0:01.811',-6.055,-5.715
'0:01.814',-6.060,-5.695
'0:01.817',-6.045,-5.705
'0:01.819',-6.075,-5.735
'0:01.822',-6.110,-5.745
'0:01.825',-6.130,-5.755
'0:01.828',-6.135,-5.770
'0:01.831',-6.125,-5.795
'0:01.833',-6.145,-5.840
'0:01.836',-6.155,-5.920
'0:01.839',-6.135,-6.020
'0:01.842',-6.035,-6.145
'0:01.844',-5.885,-6.305
'0:01.847',-5.730,-6.490
'0:01.850',-5.575,-6.670
'0:01.853',-5.470,-6.825
'0:01.856',-5.445,-6.890
'0:01.858',-5.475,-6.840
'0:01.861',-5.520,-6.690
'0:01.864',-5.490,-6.490
'0:01.867',-5.350,-6.275
'0:01.869',-5.125,-6.090
'0:01.872',-4.875,-5.875
'0:01.875',-4.700,-5.625
'0:01.878',-4.685,-5.320
'0:01.881',-4.860,-5.030
'0:01.883',-5.220,-4.795
'0:01.886',-5.655,-4.685
'0:01.889',-6.095,-4.700
'0:01.892',-6.455,-4.835
'0:01.894',-6.725,-5.070
'0:01.897',-6.890,-5.285
'0:01.900',-6.985,-5.450
'0:01.903',-7.020,-5.530
'0:01.906',-7.050,-5.610
'0:01.908',-7.065,-5.645
'0:01.911',-7.105,-5.710
'0:01.914',-7.165,-5.775
'0:01.917',-7.205,-5.845
'0:01.919',-7.240,-5.885
'0:01.922',-7.230,-5.920
'0:01.925',-7.205,-5.915
'0:01.928',-7.210,-5.895
'0:01.931',-7.205,-5.880
'0:01.933',-7.185,-5.890
'0:01.936',-7.140,-5.885
'0:01.939',-7.090,-5.905
'0:01.942',-7.025,-5.900
'0:01.944',-6.950,-5.885
'0:01.947',-6.875,-5.885
'0:01.950',-6.780,-5.840
'0:01.953',-6.650,-5.790
'0:01.956',-6.520,-5.750
'0:01.958',-6.405,-5.715
'0:01.961',-6.305,-5.695
'0:01.964',-6.240,-5.680
'0:01.967',-6.230,-5.705
'0:01.969',-6.235,-5.705
'0:01.972',-6.250,-5.715
'0:01.975',-6.270,-5.655
'0:01.978',-6.245,-5.625
'0:01.981',-6.225,-5.585
'0:01.983',-6.180,-5.550
'0:01.986',-6.135,-5.540
'0:01.989',-6.130,-5.565
'0:01.992',-6.110,-5.605
'0:01.994',-6.090,-5.650
'0:01.997',-6.100,-5.645
'0:02.000',-6.160,-5.660
'0:02.003',-6.245,-5.660
'0:02.006',-6.300,-5.650
'0:02.008',-6.320,-5.620
'0:02.011',-6.265,-5.605
'0:02.014',-6.205,-5.610
'0:02.017',-6.145,-5.625
'0:02.019',-6.115,-5.650
'0:02.022',-6.075,-5.700
'0:02.025',-6.075,-5.720
'0:02.028',-6.095,-5.760
'0:02.031',-6.125,-5.770
'0:02.033',-6.200,-5.775
'0:02.036',-6.270,-5.765
'0:02.039',-6.305,-5.765
'0:02.042',-6.295,-5.785
'0:02.044',-6.280,-5.790
'0:02.047',-6.265,-5.805
'0:02.050',-6.275,-5.840
'0:02.053',-6.275,-5.860
'0:02.056',-6.280,-5.875
'0:02.058',-6.280,-5.895
'0:02.061',-6.325,-5.915
'0:02.064',-6.360,-5.930
'0:02.067',-6.405,-5.935
'0:02.069',-6.425,-5.945
'0:02.072',-6.425,-5.945
'0:02.075',-6.415,-5.925
'0:02.078',-6.390,-5.935
'0:02.081',-6.360,-5.935
'0:02.083',-6.340,-5.960
'0:02.086',-6.320,-5.980
'0:02.089',-6.315,-6.005
'0:02.092',-6.345,-5.995
'0:02.094',-6.385,-6.005
'0:02.097',-6.405,-5.990
'0:02.100',-6.440,-5.980
'0:02.103',-6.460,-6.000
'0:02.106',-6.480,-6.015
'0:02.108',-6.480,-6.030
'0:02.111',-6.475,-6.045
'0:02.114',-6.425,-6.060
'0:02.117',-6.360,-6.060
'0:02.119',-6.330,-6.085
'0:02.122',-6.330,-6.060
'0:02.125',-6.320,-6.090
'0:02.128',-6.350,-6.095
'0:02.131',-6.385,-6.100
'0:02.133',-6.410,-6.105
'0:02.136',-6.435,-6.110
'0:02.139',-6.455,-6.105
'0:02.142',-6.440,-6.085
'0:02.144',-6.430,-6.065
'0:02.147',-6.395,-6.030
'0:02.150',-6.365,-6.000
'0:02.153',-6.320,-5.995
'0:02.156',-6.290,-5.990
'0:02.158',-6.285,-5.980
'0:02.161',-6.245,-5.985
'0:02.164',-6.245,-5.985
'0:02.167',-6.215,-5.990
'0:02.169',-6.185,-5.970
